,G#,Date,Tm,Away,Opp,FantPt,Name,Position,Season
0,1.0,2015-09-10,PIT,1,NWE,19.3,Antonio Brown ,WR,2015
1,2.0,2015-09-20,PIT,0,SFO,27.5,Antonio Brown ,WR,2015
2,3.0,2015-09-27,PIT,1,STL,10.8,Antonio Brown ,WR,2015
3,4.0,2015-10-01,PIT,0,BAL,4.2,Antonio Brown ,WR,2015
4,5.0,2015-10-12,PIT,1,SDG,4.5,Antonio Brown ,WR,2015
5,6.0,2015-10-18,PIT,0,ARI,2.4,Antonio Brown ,WR,2015
6,7.0,2015-10-25,PIT,1,KAN,13.0,Antonio Brown ,WR,2015
7,8.0,2015-11-01,PIT,0,CIN,10.7,Antonio Brown ,WR,2015
8,9.0,2015-11-08,PIT,0,OAK,28.6,Antonio Brown ,WR,2015
9,10.0,2015-11-15,PIT,0,CLE,27.9,Antonio Brown ,WR,2015
10,11.0,2015-11-29,PIT,1,SEA,5.1,Antonio Brown ,WR,2015
11,12.0,2015-12-06,PIT,0,IND,29.8,Antonio Brown ,WR,2015
12,13.0,2015-12-13,PIT,1,CIN,8.7,Antonio Brown ,WR,2015
13,14.0,2015-12-20,PIT,0,DEN,30.9,Antonio Brown ,WR,2015
14,15.0,2015-12-27,PIT,1,BAL,6.1,Antonio Brown ,WR,2015
15,16.0,2016-01-03,PIT,1,CLE,22.7,Antonio Brown ,WR,2015
