,G#,Date,Tm,Away,Opp,FantPt,Name,Position,Season
12,13.0,2016-12-11,DAL,1,NYG,10.7,Ezekiel Elliott,RB,2016
13,14.0,2016-12-18,DAL,0,TAM,24.8,Ezekiel Elliott,RB,2016
14,15.0,2016-12-26,DAL,0,DET,21.2,Ezekiel Elliott,RB,2016
0,1.0,2016-09-11,GNB,1,JAX,23.56,Aaron Rodgers ,QB,2016
1,2.0,2016-09-18,GNB,1,MIN,17.42,Aaron Rodgers ,QB,2016
2,3.0,2016-09-25,GNB,0,DET,26.4,Aaron Rodgers ,QB,2016
3,4.0,2016-10-09,GNB,0,NYG,15.86,Aaron Rodgers ,QB,2016
4,5.0,2016-10-16,GNB,0,DAL,12.46,Aaron Rodgers ,QB,2016
5,6.0,2016-10-20,GNB,0,CHI,23.74,Aaron Rodgers ,QB,2016
6,7.0,2016-10-30,GNB,1,ATL,33.84,Aaron Rodgers ,QB,2016
7,8.0,2016-11-06,GNB,0,IND,26.18,Aaron Rodgers ,QB,2016
8,9.0,2016-11-13,GNB,1,TEN,27.54,Aaron Rodgers ,QB,2016
9,10.0,2016-11-20,GNB,1,WAS,29.34,Aaron Rodgers ,QB,2016
10,11.0,2016-11-28,GNB,1,PHI,23.12,Aaron Rodgers ,QB,2016
11,12.0,2016-12-04,GNB,0,HOU,15.96,Aaron Rodgers ,QB,2016
12,13.0,2016-12-11,GNB,0,SEA,21.24,Aaron Rodgers ,QB,2016
13,14.0,2016-12-18,GNB,1,CHI,11.98,Aaron Rodgers ,QB,2016
14,15.0,2016-12-24,GNB,0,MIN,37.18,Aaron Rodgers ,QB,2016
15,16.0,2017-01-01,GNB,1,DET,34.2,Aaron Rodgers ,QB,2016
0,1.0,2016-09-11,BUF,1,BAL,13.0,LeSean McCoy,RB,2016
1,2.0,2016-09-15,BUF,0,NYJ,9.0,LeSean McCoy,RB,2016
2,3.0,2016-09-25,BUF,0,ARI,23.6,LeSean McCoy,RB,2016
3,4.0,2016-10-02,BUF,1,NWE,16.8,LeSean McCoy,RB,2016
4,5.0,2016-10-09,BUF,1,LAR,15.8,LeSean McCoy,RB,2016
5,6.0,2016-10-16,BUF,0,SFO,32.2,LeSean McCoy,RB,2016
6,7.0,2016-10-23,BUF,1,MIA,1.1,LeSean McCoy,RB,2016
7,9.0,2016-11-07,BUF,1,SEA,12.0,LeSean McCoy,RB,2016
8,10.0,2016-11-20,BUF,1,CIN,10.5,LeSean McCoy,RB,2016
9,11.0,2016-11-27,BUF,0,JAX,27.4,LeSean McCoy,RB,2016
10,12.0,2016-12-04,BUF,1,OAK,19.1,LeSean McCoy,RB,2016
11,13.0,2016-12-11,BUF,0,PIT,16.8,LeSean McCoy,RB,2016
12,14.0,2016-12-18,BUF,0,CLE,28.9,LeSean McCoy,RB,2016
13,15.0,2016-12-24,BUF,0,MIA,20.5,LeSean McCoy,RB,2016
14,16.0,2017-01-01,BUF,1,NYJ,1.6,LeSean McCoy,RB,2016
0,4.0,2016-10-02,PIT,0,KAN,17.8,Le'Veon Bell,RB,2016
1,5.0,2016-10-09,PIT,0,NYJ,15.4,Le'Veon Bell,RB,2016
2,6.0,2016-10-16,PIT,1,MIA,12.8,Le'Veon Bell,RB,2016
3,7.0,2016-10-23,PIT,0,NWE,14.9,Le'Veon Bell,RB,2016
4,8.0,2016-11-06,PIT,1,BAL,7.0,Le'Veon Bell,RB,2016
5,9.0,2016-11-13,PIT,0,DAL,25.4,Le'Veon Bell,RB,2016
6,10.0,2016-11-20,PIT,1,CLE,26.1,Le'Veon Bell,RB,2016
7,11.0,2016-11-24,PIT,1,IND,20.2,Le'Veon Bell,RB,2016
8,12.0,2016-12-04,PIT,0,NYG,16.2,Le'Veon Bell,RB,2016
9,13.0,2016-12-11,PIT,1,BUF,47.8,Le'Veon Bell,RB,2016
10,14.0,2016-12-18,PIT,1,CIN,13.1,Le'Veon Bell,RB,2016
11,15.0,2016-12-25,PIT,0,BAL,25.7,Le'Veon Bell,RB,2016
0,1.0,2016-09-11,TEN,0,MIN,17.7,DeMarco Murray,RB,2016
1,2.0,2016-09-18,TEN,1,DET,14.5,DeMarco Murray,RB,2016
2,3.0,2016-09-25,TEN,0,OAK,21.5,DeMarco Murray,RB,2016
3,4.0,2016-10-02,TEN,1,HOU,23.9,DeMarco Murray,RB,2016
4,5.0,2016-10-09,TEN,1,MIA,13.7,DeMarco Murray,RB,2016
5,6.0,2016-10-16,TEN,0,CLE,12.5,DeMarco Murray,RB,2016
6,7.0,2016-10-23,TEN,0,IND,18.7,DeMarco Murray,RB,2016
7,8.0,2016-10-27,TEN,0,JAX,18.8,DeMarco Murray,RB,2016
8,9.0,2016-11-06,TEN,1,SDG,14.0,DeMarco Murray,RB,2016
9,10.0,2016-11-13,TEN,0,GNB,26.0,DeMarco Murray,RB,2016
10,11.0,2016-11-20,TEN,1,IND,13.9,DeMarco Murray,RB,2016
11,12.0,2016-11-27,TEN,1,CHI,8.4,DeMarco Murray,RB,2016
12,13.0,2016-12-11,TEN,0,DEN,15.2,DeMarco Murray,RB,2016
13,14.0,2016-12-18,TEN,1,KAN,14.1,DeMarco Murray,RB,2016
14,15.0,2016-12-24,TEN,1,JAX,6.0,DeMarco Murray,RB,2016
15,16.0,2017-01-01,TEN,0,HOU,1.9,DeMarco Murray,RB,2016
0,1.0,2016-09-11,ATL,0,TAM,4.0,Devonta Freeman ,RB,2016
1,2.0,2016-09-18,ATL,1,OAK,9.3,Devonta Freeman ,RB,2016
2,3.0,2016-09-26,ATL,1,NOR,26.7,Devonta Freeman ,RB,2016
3,4.0,2016-10-02,ATL,0,CAR,12.4,Devonta Freeman ,RB,2016
4,5.0,2016-10-09,ATL,1,DEN,18.3,Devonta Freeman ,RB,2016
5,6.0,2016-10-16,ATL,1,SEA,5.0,Devonta Freeman ,RB,2016
6,7.0,2016-10-23,ATL,0,SDG,10.0,Devonta Freeman ,RB,2016
7,8.0,2016-10-30,ATL,0,GNB,17.8,Devonta Freeman ,RB,2016
8,9.0,2016-11-03,ATL,1,TAM,10.5,Devonta Freeman ,RB,2016
9,10.0,2016-11-13,ATL,1,PHI,8.1,Devonta Freeman ,RB,2016
10,11.0,2016-11-27,ATL,0,ARI,19.7,Devonta Freeman ,RB,2016
11,12.0,2016-12-04,ATL,0,KAN,22.5,Devonta Freeman ,RB,2016
12,13.0,2016-12-11,ATL,1,LAR,1.8,Devonta Freeman ,RB,2016
13,14.0,2016-12-18,ATL,0,SFO,31.5,Devonta Freeman ,RB,2016
14,15.0,2016-12-24,ATL,1,CAR,8.8,Devonta Freeman ,RB,2016
15,16.0,2017-01-01,ATL,0,NOR,23.7,Devonta Freeman ,RB,2016
0,1.0,2016-09-11,NWE,1,ARI,11.0,LeGarrette Blount,RB,2016
1,2.0,2016-09-18,NWE,0,MIA,18.3,LeGarrette Blount,RB,2016
2,3.0,2016-09-22,NWE,0,HOU,22.5,LeGarrette Blount,RB,2016
3,4.0,2016-10-02,NWE,0,BUF,5.8,LeGarrette Blount,RB,2016
4,5.0,2016-10-09,NWE,1,CLE,9.7,LeGarrette Blount,RB,2016
5,6.0,2016-10-16,NWE,0,CIN,13.0,LeGarrette Blount,RB,2016
6,7.0,2016-10-23,NWE,1,PIT,25.4,LeGarrette Blount,RB,2016
7,8.0,2016-10-30,NWE,1,BUF,10.3,LeGarrette Blount,RB,2016
8,9.0,2016-11-13,NWE,0,SEA,24.9,LeGarrette Blount,RB,2016
9,10.0,2016-11-20,NWE,1,SFO,12.4,LeGarrette Blount,RB,2016
10,11.0,2016-11-27,NWE,1,NYJ,6.7,LeGarrette Blount,RB,2016
11,12.0,2016-12-04,NWE,0,LAR,14.8,LeGarrette Blount,RB,2016
12,13.0,2016-12-12,NWE,0,BAL,13.9,LeGarrette Blount,RB,2016
13,14.0,2016-12-18,NWE,1,DEN,9.1,LeGarrette Blount,RB,2016
14,15.0,2016-12-24,NWE,0,NYJ,17.0,LeGarrette Blount,RB,2016
15,16.0,2017-01-01,NWE,1,MIA,11.1,LeGarrette Blount,RB,2016
0,1.0,2016-09-11,ATL,0,TAM,24.36,Matt Ryan,QB,2016
1,2.0,2016-09-18,ATL,1,OAK,27.84,Matt Ryan,QB,2016
2,3.0,2016-09-26,ATL,1,NOR,19.9,Matt Ryan,QB,2016
3,4.0,2016-10-02,ATL,0,CAR,35.52,Matt Ryan,QB,2016
4,5.0,2016-10-09,ATL,1,DEN,14.98,Matt Ryan,QB,2016
5,6.0,2016-10-16,ATL,1,SEA,21.6,Matt Ryan,QB,2016
6,7.0,2016-10-23,ATL,0,SDG,13.72,Matt Ryan,QB,2016
7,8.0,2016-10-30,ATL,0,GNB,24.42,Matt Ryan,QB,2016
8,9.0,2016-11-03,ATL,1,TAM,27.76,Matt Ryan,QB,2016
9,10.0,2016-11-13,ATL,1,PHI,12.68,Matt Ryan,QB,2016
10,11.0,2016-11-27,ATL,0,ARI,18.26,Matt Ryan,QB,2016
11,12.0,2016-12-04,ATL,0,KAN,16.18,Matt Ryan,QB,2016
12,13.0,2016-12-11,ATL,1,LAR,21.48,Matt Ryan,QB,2016
13,14.0,2016-12-18,ATL,0,SFO,19.34,Matt Ryan,QB,2016
14,15.0,2016-12-24,ATL,1,CAR,19.98,Matt Ryan,QB,2016
15,16.0,2017-01-01,ATL,0,NOR,29.44,Matt Ryan,QB,2016
0,1.0,2016-09-11,TAM,1,ATL,15.9,Mike Evans,WR,2016
1,2.0,2016-09-18,TAM,1,ARI,13.0,Mike Evans,WR,2016
2,3.0,2016-09-25,TAM,0,LAR,19.2,Mike Evans,WR,2016
3,4.0,2016-10-02,TAM,0,DEN,5.9,Mike Evans,WR,2016
4,5.0,2016-10-10,TAM,1,CAR,14.9,Mike Evans,WR,2016
5,6.0,2016-10-23,TAM,1,SFO,21.6,Mike Evans,WR,2016
6,7.0,2016-10-30,TAM,0,OAK,7.0,Mike Evans,WR,2016
7,8.0,2016-11-03,TAM,0,ATL,27.0,Mike Evans,WR,2016
8,9.0,2016-11-13,TAM,0,CHI,6.6,Mike Evans,WR,2016
9,10.0,2016-11-20,TAM,1,KAN,10.5,Mike Evans,WR,2016
10,11.0,2016-11-27,TAM,0,SEA,22.4,Mike Evans,WR,2016
11,12.0,2016-12-04,TAM,1,SDG,5.8,Mike Evans,WR,2016
12,13.0,2016-12-11,TAM,0,NOR,4.2,Mike Evans,WR,2016
13,14.0,2016-12-18,TAM,1,DAL,5.9,Mike Evans,WR,2016
14,15.0,2016-12-24,TAM,1,NOR,15.7,Mike Evans,WR,2016
15,16.0,2017-01-01,TAM,0,CAR,12.5,Mike Evans,WR,2016
