,G#,Date,Tm,Away,Opp,FantPt,Name,Position,Season
0,1.0,2014-09-07,DAL,0,SFO,18.3,DeMarco Murray,RB,2014
1,2.0,2014-09-14,DAL,1,TEN,21.3,DeMarco Murray,RB,2014
2,3.0,2014-09-21,DAL,1,STL,17.1,DeMarco Murray,RB,2014
3,4.0,2014-09-28,DAL,0,NOR,27.5,DeMarco Murray,RB,2014
4,5.0,2014-10-05,DAL,0,HOU,17.2,DeMarco Murray,RB,2014
5,6.0,2014-10-12,DAL,1,SEA,20.6,DeMarco Murray,RB,2014
6,7.0,2014-10-19,DAL,0,NYG,19.2,DeMarco Murray,RB,2014
7,8.0,2014-10-27,DAL,0,WAS,20.1,DeMarco Murray,RB,2014
8,9.0,2014-11-02,DAL,0,ARI,9.0,DeMarco Murray,RB,2014
9,10.0,2014-11-09,DAL,1,JAX,13.1,DeMarco Murray,RB,2014
10,11.0,2014-11-23,DAL,1,NYG,14.3,DeMarco Murray,RB,2014
11,12.0,2014-11-27,DAL,0,PHI,17.3,DeMarco Murray,RB,2014
12,13.0,2014-12-04,DAL,1,CHI,28.8,DeMarco Murray,RB,2014
13,14.0,2014-12-14,DAL,1,PHI,20.4,DeMarco Murray,RB,2014
14,15.0,2014-12-21,DAL,0,IND,11.8,DeMarco Murray,RB,2014
15,16.0,2014-12-28,DAL,1,WAS,18.1,DeMarco Murray,RB,2014
